FPOI BLOCk,LAT,LONG
IRIKKUR,12.00204,75.62782
IRITTY,11.99566,75.72144
IRITTY,12.03413,75.74686
IRITTY,11.92905,75.52521
IRITTY,11.96125,75.65280
IRITTY,11.93460,75.50407
IRITTY,12.00474,75.69124
IRITTY,11.92699,75.66557
KALLIASSERI,11.99614,75.29441
KALLIASSERI,12.07811,75.26058
KALLIASSERI,12.03814,75.29617
KALLIASSERI,12.02222,75.26892
KALLIASSERI,11.97325,75.28606
KALLIASSERI,11.97135,75.36263
KALLIASSERI,11.93888,75.40429
KANNUR,11.93049,75.32851
KANNUR,11.91729,75.35674
KANNUR,11.88916,75.36167
KANNUR,11.94621,75.35448
KANNUR,11.90186,75.38688
KANNUR,11.92843,75.34734
KUTHUPARAMBA,11.84767,75.63326
KUTHUPARAMBA,11.80863,75.55048
KUTHUPARAMBA,11.75113,75.62328
KUTHUPARAMBA,11.87148,75.57281
KUTHUPARAMBA,11.79869,75.56286
PANOOR,11.72678,75.55531
PANOOR,11.78742,75.53121
PANOOR,11.69536,75.57821
PANOOR,11.78614,75.56903
PANOOR,11.75982,75.57714
PANOOR,11.72743,75.59334
PAYYANNUR,12.27126,75.36067
PAYYANNUR,12.13677,75.30199
PAYYANNUR,12.17706,75.24710
PAYYANNUR,12.17597,75.19212
PAYYANNUR,12.07945,75.24112
PAYYANNUR,12.06444,75.18981
PERAVOOR,11.90721,75.77155
PERAVOOR,11.90641,75.78509
PERAVOOR,11.85418,75.69870
PERAVOOR,11.89447,75.80939
PERAVOOR,11.89361,75.74134
PERAVOOR,11.89363,75.62821
PERAVOOR,11.93775,75.70678
TALIPARAMBA,12.04228,75.48959
TALIPARAMBA,12.03994,75.41099
TALIPARAMBA,12.06974,75.33162
TALIPARAMBA,12.02772,75.32607
TALIPARAMBA,12.19929,75.46154
TALIPARAMBA,12.12814,75.41213
TALIPARAMBA,12.12146,75.48341
TALIPARAMBA,12.22883,75.48066
THALASSERY,11.77524,75.46955
THALASSERY,11.77439,75.51150
THALASSERY,11.81365,75.43829
THALASSERY,11.80933,75.49231
THALASSERY,11.88625,75.48581
THALASSERY,11.71161,75.53487
THALASSERY,11.86462,75.50903
KANHANGAD,12.34343,75.08951
KANHANGAD,12.31800,75.14765
KANHANGAD,12.37943,75.10025
KANHANGAD,12.43008,75.02312
KARADKA,12.46122,75.16453
KARADKA,12.59124,75.17479
KARADKA,12.54989,75.25063
KARADKA,12.54629,75.16778
KARADKA,12.54909,75.16524
KARADKA,12.47707,75.21016
KARADKA,12.50788,75.09566
KASARGOD,12.58811,75.07104
KASARGOD,12.46629,75.00668
KASARGOD,12.51094,75.05146
KASARGOD,12.59106,74.94740
KASARGOD,12.54170,75.00080
KASARGOD,12.52289,74.97234
MANJESHWAR,12.64640,75.10640
MANJESHWAR,12.67046,74.91148
MANJESHWAR,12.73205,74.88395
MANJESHWAR,12.71310,74.95249
MANJESHWAR,12.68722,74.98742
MANJESHWAR,12.61494,75.01024
MANJESHWAR,12.75066,74.94859
NILESHWAR,12.23910,75.23210
NILESHWAR,12.17610,75.14750
NILESHWAR,12.19700,75.16390
NILESHWAR,12.13750,75.17750
PARAPPA,12.38580,75.28040
PARAPPA,12.32200,75.35790
PARAPPA,12.42980,75.26690
PARAPPA,12.28860,75.23460
PARAPPA,12.39100,75.19350
PARAPPA,12.45570,75.36080
PARAPPA,12.32000,75.28630
ANCHAL,8.88770,76.96018
ANCHAL,8.93140,76.91400
ANCHAL,8.92427,76.90034
ANCHAL,8.98634,76.90977
ANCHAL,8.90914,77.05460
ANCHAL,8.96778,77.07036
ANCHAL,8.93715,76.94720
ANCHAL,8.96923,77.09747
CHADAYAMANGALAM,8.87382,76.87132
CHADAYAMANGALAM,8.81500,76.96953
CHADAYAMANGALAM,8.90271,76.82195
CHADAYAMANGALAM,8.87052,76.92078
CHADAYAMANGALAM,8.82643,76.91758
CHADAYAMANGALAM,8.78774,76.94076
CHADAYAMANGALAM,8.82326,76.88293
CHADAYAMANGALAM,8.87451,76.78075
CHAVARA,8.98085,76.53473
CHAVARA,8.95764,76.53305
CHAVARA,9.01165,76.53787
CHAVARA,8.95434,76.56185
CHAVARA,9.01216,76.57500
CHITTUMALA,9.01730,76.65255
CHITTUMALA,8.95807,76.67184
CHITTUMALA,9.00424,76.62988
CHITTUMALA,8.93613,76.61133
CHITTUMALA,8.98155,76.67153
CHITTUMALA,8.94775,76.63812
CHITTUMALA,8.92616,76.59857
CHITTUMALA,8.95522,76.60096
ITHIKKARA,8.86324,76.70938
ITHIKKARA,8.83356,76.74447
ITHIKKARA,8.81634,76.69608
KOTTARAKKARA,8.98056,76.71355
KOTTARAKKARA,9.00420,76.78131
KOTTARAKKARA,8.99611,76.75338
KOTTARAKKARA,8.90952,76.76427
KOTTARAKKARA,8.93873,76.77129
MUKHATHALA,8.95446,76.66922
MUKHATHALA,8.91590,76.63329
MUKHATHALA,8.90714,76.69161
MUKHATHALA,8.89706,76.66752
OACHIRA,9.06774,76.49593
OACHIRA,9.09355,76.50475
OACHIRA,9.13204,76.51247
OACHIRA,9.08820,76.56372
OACHIRA,9.06797,76.55834
PATHANAPURAM,9.08753,76.85554
PATHANAPURAM,9.05686,76.91396
PATHANAPURAM,9.02781,76.86259
SASTHAMCOTTAH,9.06300,76.67410
SASTHAMCOTTAH,9.04175,76.59039
SASTHAMCOTTAH,9.08025,76.67252
