GP,LAT,LONG
KIYIT YITDUM,28.06032,95.47285
KIYIT YITKONG,28.05681,95.46983
NAMSING ANGGO,27.9262,95.48899
NAMSING SANGGO,27.92681,95.48932
NEW BORGULI,28.0315,95.46203
NGOPOK POKKONG,28.06227,95.47889
NGOPOK-POKDUM,28.0689,95.48645
SERAM PALEK,27.99877,95.47972
SERAM RAMKU,27.99893,95.47939
DEPI,27.80941,95.10929
DEPI MOLI,27.81522,95.11476
DEPI-A,27.80828,95.11031
DETAK,27.82469,95.11128
NARI-I,27.79598,95.05261
NARI-I(A),27.8004,95.04371
NEW DEKA,27.76628,94.97462
OLD DEKA,27.77875,94.9651
PAM,27.75688,94.92962
SEREN-I,27.74884,94.90257
BABUK,28.1355,95.10387
KALLEK,28.10401,95.16931
KEBANG,28.16046,95.03794
KORENG,28.22703,94.99473
LOKPENG,28.22972,94.91686
PANGIN,28.21223,94.99936
ROTTUNG,28.14359,95.15787
TARAK,28.2181,94.8969
YEKSI,28.23822,94.98815
YEMSING,28.10541,95.00521
BEGGING,28.32535,95.00557
JORSING,28.25929,95.04773
KOMSING (KARO),28.23999,95.01803
KOMSING (KUMKU),28.26065,95.01599
MOPIT,28.2956,94.96812
PANGI,28.1915,95.03631
RIEW (MOBUK),28.32654,95.05721
RIEW (REYDANG),28.33057,95.05942
RIEW (YABENG),28.32816,95.05556
SISSEN,28.14215,95.12346
PANGKANG (J),28.49637,95.08829
PANGKANG (K),28.51837,95.06771
PARONG-I,28.3462,95.02367
PARONG-II,28.36084,95.02112
RIGA MOBUK-I,28.43412,95.0438
RIGA MOBUK-II,28.43556,95.04302
RIGA MOBUK-III,28.43353,95.04489
RIGA-MONGKU-I,28.43457,95.03696
RIGA-MONGKU-III,28.43449,95.03693
RIGA-MONGKU-IV,28.43431,95.03926
SITANG,28.38415,95.05715
DEBING-I,27.82465,95.14777
DEBING-II,27.83386,95.14071
LINGKA,27.86823,95.25972
NGORLUNG-I,27.87257,95.22742
NGORLUNG-II,27.86901,95.21792
NGORLUNG-III,27.8637,95.22518
NIGLOK,27.90338,95.22792
RAYANG-I,27.85091,95.19816
RAYANG-II,27.84914,95.20547
RUKSIN,27.84365,95.22556
12-MILE,27.88927,95.29338
MANGNANG,27.91106,95.27796
OYAN-I,27.87987,95.31627
OYAN-II,27.87703,95.31492
RANI-I,27.96295,95.31373
RANI-II,27.9684,95.31824
RANI-III,27.97037,95.32829
SIKA BAMIN-I,27.91142,95.34324
SIKA BAMIN-II,27.91804,95.34564
SIKA TODE-I,27.93182,95.34629
SIKA TODE-II,27.9251,95.34449
SILLE,27.89387,95.30878
ANPUM-A,27.9736,95.58072
ANPUM-B,27.97501,95.58451
BIZARI-A,28.04519,95.61831
BIZARI-B,28.04091,95.61597
BOMJIR,28.15871,95.66544
LOKLUNG-KALING,27.9605,95.57163
POBLUNG-A,28.27028,95.62414
POBLUNG-C,28.25908,95.58227
REMI,28.27017,95.61225
SIRANG,28.26667,95.6151
TAPAT-KAPANG,28.25841,95.6005
TINALI KEBA,27.89441,95.52732
YAPGO,28.24965,95.59973
ALONI,28.37595,95.93103
BRINLI,28.30284,95.92394
DESALI,28.29271,96.04264
DONLI,28.28374,96.08121
ELOPE,28.34341,95.93677
HUNLI,28.32156,95.97039
JAMUPANI,28.33737,95.98043
MITAKA,28.29476,96.04939
ABALI-I AND II,28.04918,95.81887
IDULI,27.98969,95.81904
IMULI,27.97465,95.83727
OLD ABALI,28.01871,95.8664
ABANGO,28.09821,95.89333
BHISMAKNAGAR,28.04767,96.00018
DENLO,28.04369,95.90435
INJONU,28.085,95.90416
KORONU,28.06175,95.92826
BOLUNG-I,28.029,95.76083
BOLUNG-III,28.02765,95.75904
ITHILI-IDLI,28.04876,95.75449
JIA-I,28.05514,95.75884
JIA-II,28.0515,95.76402
KANGKONG,27.97292,95.75497
MEKA-I,28.11513,95.8217
MEKA-II,28.11312,95.81839
MOBANG-I,28.01219,95.76121
MOBANG-II,28.00128,95.75864
PARBUK,27.98645,95.75766
BALEK,28.08593,95.84932
CHETA I AND II,28.13379,95.84633
CHIDU,28.20555,95.77211
INTAYA,28.12128,95.75186
KEBALI,28.17847,95.81779
MAYU-I,28.13762,95.83032
RAYANG-II MIDLAND,28.13047,95.82773
SIMARI-I AND II,28.10229,95.89064
YIBUK-RAYANG,28.1289,95.8404
AKANG KOJ,27.58075,93.82734
BAMING AYO(NORTH),27.56899,93.82795
BAMING AYO(SOUTH),27.57003,93.8315
BURU,27.57249,93.83014
CHIGGING,27.57663,93.82805
DAPOPAGYANG,27.55024,93.82425
DILANG LEYU,27.57631,93.83167
LYAGI- TYAGI,27.57511,93.82955
MICHI AKANG,27.57052,93.82843
MICHI AYO,27.56948,93.82665
MOBYA,27.57728,93.82833
NENCHALIYA,27.58436,93.82739
PAREYAMI,27.534,93.82823
SIBE,27.54956,93.80969
SUKUNG -ARANG,27.57318,93.82843
TAGE NAMI,27.57446,93.83018
BAMING AKANG,27.56835,93.82962
CLUBTUKAR,27.51808,94.24606
NARANG PADA (TAYA),27.74767,94.1167
SHUIL,27.51105,93.77234
TAMING -I,27.75506,94.00554
TAMING-II,27.75488,94.00532
TAYASIMLA,27.74988,94.07317
TILLING BARANG (RITE),27.76282,94.1419
ATO EKHA URU(LUMRI),27.49551,93.73148
ATTO MARKU URU,27.58292,93.84166
LOWER TAIGYATI-I,27.5845,93.84646
LOWER TAIGYATI-III,27.59791,93.87362
MOBYA PECHA,27.57549,93.84378
MUDO GYATI-III,27.5789,93.84997
MUDO-GYATI,27.58025,93.84131
TAIGYATI AYO URU (EAST),27.58983,93.84703
TAIGYATI AYO URU(WEST),27.58394,93.84048
TAMANG TARANG (LOWER),27.58399,93.84104
TAMANG TARANG (TARIN),27.52019,93.82149
BUGYANG SUBUI,27.57758,93.82406
HIDU SUBU(MUDANG),27.5773,93.82251
HOJ LEYU,27.57974,93.82249
KIIRA LEYU,27.58028,93.82356
KUDUNG BARANG,27.59228,93.82577
NENCHALYA,27.59192,93.81696
NENTING LEYU,27.57766,93.82251
PURA(LOWER) NENKO,27.57812,93.82264
PYAGANG LEYU,27.57498,93.8226
SIIPI LEYU,27.57905,93.82476
SILLANG DITING,27.58288,93.82533
SUKUNG SUBU,27.5776,93.82555
DID RAKE,27.78151,93.93771
MINGIKABAKHUBA,27.89372,93.95073
RADUM,27.85541,93.97932
REPARI,27.7165,93.92656
YOM-SERING RAKE,27.78116,93.97498
YORKUM,27.82806,93.95414
YUKAR,27.78911,93.96804
AYI,27.68215,93.94837
BOASIMLA-II,27.73139,93.97995
GAA,27.74455,94.00901
TAMEN-III,27.75488,94.00532
YATTAP,27.69904,93.91143
BAKHANG TULU,27.56459,93.84801
CHEY TULU,27.55155,93.8319
DIKO PUTA,27.52404,93.8381
DOJI TULU ABA RADHE,27.5583,93.84559
GANCHO-PABU,27.55752,93.84624
KAGO TULU,27.56158,93.85247
KANI TABIN,27.56489,93.84544
LAMBU LEYU,27.5566,93.84526
MIRING,27.52313,93.83142
NORTH PUNYO,27.5589,93.84712
SICHUSII,27.52096,93.84128
WEST PUNIYO(MYOLI),27.55941,93.847
KACHOPULO,27.55872,93.84851
KIIRA LIYU(BIIDI),27.55739,93.85094
LAMPUNG DOLIYANG,27.55553,93.84571
NAMI,27.55745,93.85029
NARANG,27.59731,93.83971
PAMUAGIYANG,27.54666,93.84564
PILIYA,27.54375,93.84692
PULO TULU,27.55536,93.853
TALO UKO(TALO UPPER),27.54161,93.75772
TAMANG URU,27.5588,93.85392
TILLING LEYU,27.55804,93.84939
WEST SAJI TULU,27.55741,93.84875
AMBAM,27.48409,93.63501
DEED,27.59686,93.67293
DEM,27.60803,93.65937
KUGI TAGO,27.55603,93.63137
NEELAM,27.57685,93.67695
PANIA,27.54706,93.68459
RADHPU,27.58928,93.6556
SEYA,27.61609,93.6957
SHALLY,27.47305,93.6862
SITHO,27.53949,93.62505
YOGLU,27.51432,93.71205
BOASIMLA - I,27.73083,93.9899
DOKUM,27.80306,94.08217
GODAK,27.82489,94.18629
KEMLIKO,27.8246,94.13591
KIGAM,27.82049,94.15844
MILI,27.79707,93.99039
NIMAR,27.7762,94.07377
RAGA-I,27.7904,94.07188
RAGA-II,27.79877,94.07627
RAGA-III,27.79259,94.07731
YADA,27.79313,94.06371
KIIRA ARANG(NANI AYO),27.59598,93.84195
KOL NENTING,27.59507,93.8409
LENDA LEYU(LENDING),27.693,93.89218
NAGU ARANG(HABUNG AKANG),27.59771,93.84338
NENTING LEYU,27.59747,93.84818
RAGUNG SUKUNG,27.59434,93.84631
SUBU AGO LEYU,27.59933,93.84194
SUBU LEYU,27.5942,93.83953
TAYANG SUKU,27.59664,93.84246
LEMPIA AKANG (WEST),27.60072,93.83543
LEMPIA AYOH MYOLI,27.62121,93.84412
LEMPIA AYOH MYOLI-I,27.60465,93.83151
MIHIN (BURO SUKUNG),27.59745,93.83838
MILLO SUKUNG,27.59726,93.83967
RAKE (PUTHAP),27.69878,93.92677
SULULYA (EAST),27.60006,93.82485
SULULYA(WEST),27.60647,93.82636
TAKHA-NANII,27.59619,93.84006
ZIRO PUTU,27.5945,93.82594
JARA,27.52496,93.76733
JATH,27.47594,93.75944
JORAM,27.51362,93.7812
LINYA,27.67771,93.84286
LOTH,27.68996,93.87398
MAI,27.47648,93.79599
RUMLIN,27.53533,93.74902
TADARKO,27.67248,93.82847
TAJGI,27.68104,93.90112
TALO,27.53783,93.75222
YACHULI,27.46985,93.77063
YAKHA,27.5388,93.74704
CHULYU,27.36155,93.77344
DODO,27.42646,93.76268
KEBI,27.36801,93.74198
KEL,27.41258,93.74631
KUCHKUT,27.46123,93.65979
NEW PITHAPOOL,27.35444,93.78377
PITHAPOOL,27.3587,93.7786
RUBDI,27.43841,93.6522
TAKAMPASA,27.39151,93.72848
YAZALI,27.40417,93.74299
YOIZAT,27.4109,93.725
BHAT,27.07753,93.56271
BORUM,27.08693,93.59433
GANGA,27.12101,93.7005
JULLONG,27.07449,93.63737
LEKHI,27.12249,93.72279
MODEL VILL,27.10814,93.71232
NIRJULI,27.12591,93.74898
BANDERDEWA-II,27.10868,93.82092
CHIPUTA,27.1792,93.77828
DOIMUKH,27.14365,93.75651
EMCHI(NEW),27.14194,93.76673
GUMTO,27.13972,93.79772
KARSINGSA,27.12323,93.77953
LEKHA (NEW)(W),27.16343,93.77168
MIDPU,27.16186,93.75038
RONO (NEW),27.14868,93.75349
ROSE,27.19148,93.79057
TIGDO (NEW),27.14974,93.74372
KAKOI,27.35935,94.05211
KIMIN,27.30136,93.96223
LICHI-SHER,27.37411,93.87452
UPPER JUMI,27.32655,93.98819
BOBIA,27.20696,93.37761
LANGDANG (LANGPUNG),27.21821,93.35812
LANGDING,27.21569,93.385
LEPORIANG,27.22851,93.34073
PAPE (NEW),27.26945,93.32926
CHESSA SONAJULI,27.02917,93.74096
HOLONGI,26.95783,93.59854
KOKILA,26.97611,93.66162
LENGHA,26.97366,93.63972
TUBUNG BALIJA,27.02609,93.73184
KAMRUNG (NEW),27.52901,93.4887
MEGANG (MACHANG),27.47391,93.51575
OLD MENGIO (NEW),27.53466,93.49193
PAI,27.43287,93.55273
PAKI,27.50904,93.51762
PAN (NEW),27.49044,93.49812
PUYU,27.40027,93.5414
SAKIANG,27.51582,93.54033
BOKORIANG (NEW ),27.24704,93.49715
BOKORIANG -I,27.25222,93.49287
BOKORIANG -II,27.25389,93.48624
DODANG (NEW),27.2896,93.51719
GANGTE(NEW),27.24134,93.57047
HUMD(NEW),27.23203,93.41857
LEBIA (NEW),27.26872,93.44334
LENGIK,27.20659,93.49113
PARANG,27.33025,93.50719
RACH TABIO(NEW),27.25218,93.51632
RUSU,27.23632,93.5342
SALA,27.34875,93.51627
SEEMA (NEW),27.34515,93.47233
TOTPU (NEW),27.35054,93.53013
BORMAI,26.92794,93.368859
DARIABIL,26.92912,93.40154
LOWER TARRASO,26.93563,93.32921
RAMGHAT,26.9544,93.343763
UPPER TARRASO,26.94874,93.401077
DAKTE-HOJ(NEW),27.25769,93.79778
KHEEL (NEW),27.21138,93.68452
KIGI(NEW),27.21818,93.68941
OMPULI,27.25371,93.67161
PAWAR,27.20719,93.61452
RAYEE (NEW),27.20801,93.60469
