GP,LAT,LONG
DUNYO-I,28.77724,94.27995
DUNYO-II,28.7783,94.27775
HEDO-II/HEMI,28.73873,94.3007
KARO-I,28.65842,94.34054
LUNGTE,28.60466,94.39965
MONIGONG,28.78513,94.27708
NINGIO/HEDO-I,28.75596,94.28686
SAJI-I,28.8325,94.24401
SAJI-II,28.81352,94.26075
SAJI-III,28.80883,94.28442
SAJI-IV,28.7997,94.27963
TAMANG-I,28.7231,94.30436
DEJENGTHANG,28.59674,94.14301
DORJELING,28.62563,94.10283
FARGE,28.60026,94.1645
GAPO/PURYING/HIRI/PADUSA,28.60352,94.12984
HOLUNG,28.53166,94.29242
IRGO,28.63324,94.07473
MECHUKA,28.50911,94.4513
MECHUKA-GELLING,28.59776,94.13828
REGO/RAPUM/CHINGPONG,28.61245,94.11632
SHEKOR-CHORLING,28.546,94.23203
SINGBIR-YORNYI,28.579,94.15857
TADO/GITU/YAPU/CHARU/LIPO,28.61135,94.10754
TAGUR/QUYING/HEYO/PABUYING,28.5157,94.41509
TATO HQ (E),28.49093,94.402
TATO HQ (W),28.53027,94.3758
TATO-I,28.53131,94.37424
TATO-II,28.5333,94.37543
THARGELING,28.52889,94.37314
YAPIK PAUM,28.61403,94.08141
GAMING,28.51058,94.47712
GASHENG,28.58983,94.67214
GATE,28.64608,94.65169
MEGA/PAME/BOGU,28.6523,94.6214
PAYUM,28.53161,94.65887
YIO/MOLO/DUPU/ROW,28.57766,94.64709
BINGUNG,28.55094,94.59894
JOMO-I,28.30871,94.78984
JOMO-II,28.29377,94.84547
MOLOM,28.28635,94.84109
MOPUNG,28.31589,94.80208
RUMGONG-I,28.32018,94.84462
RUMGONG-II,28.30945,94.88963
YOGONG,28.30805,94.89228
YOSING,28.37704,94.78981
BADAK/YIGA,28.36805,94.86418
BAGE/RISE/LITE/,27.97569,94.52639
CHEKOR/PIRA,28.04252,94.53149
DEDU DOKE/MOBA DOKE,28.02087,94.58612
DEKE ASC,28.02326,94.60331
DORBO BOGYA/YEGRI/RITA,28.04046,94.57328
GAKE/DAPO/DEPI/SIKI,28.02575,94.54088
LAMADEKE/DEGOM,28.02584,94.56925
LITE/KARDO/GITO,28.04507,94.57785
LUTAK LIDO/TIRI NGENSI,27.99195,94.53016
RAGI DOKE/SODO DOKE,27.99132,94.57908
RATAK GAMLIN,28.03621,94.63218
TAI,28.02379,94.51576
TAKOM,28.00158,94.52947
KUMARIKATA EXCHANGE,26.73061,91.55641
KAYAKUCHI XGE,26.39597,91.06608
A1-BASKANDI T.E/OLT,24.80904,92.91192
DWARBOND T.E.,24.63823,92.71054
SILCHAR OLT,24.71784,92.77657
A1-LAKHIPUR RIVER XING,24.79177,93.00319
BINNAKANDI,24.76555,92.97397
BORKHOLA T.E/OLT,24.92778,92.74528
SILCHAR BLOCK,24.94353,92.70962
A12-KALINE T.E,24.96842,92.57526
A1-KATIGORAH T.E.,24.88239,92.58792
LAKHIPUR T.E,24.78997,93.02237
DHOLAI T.E.,24.58725,92.84000
PALONGHAT T.E.,24.64694,92.88500
RAJABAZAR  T.E,24.87972,93.07222
BARJATRAPUR T.E.,24.90241,92.70150
SADARGHAT T.E.,24.83250,92.80194
SONAIMUKH  T.E,24.73417,92.89111
SRIKONA T.E.,24.83400,92.72625
UDHARBOND T.E.,24.88018,92.88188
BHEBHARGHAT XGE OLT,26.43733,92.02197
DHEEMAJI XGE,27.47930,94.54962
MACHKHOWA EXCHANGE,27.33365,94.54477
AGOMANI  EXCH.,26.19294,89.78589
HATSINGIMARI EXCH.,25.50277,89.86777
TARANGAJHAR OLT,25.98006,90.12975
BAGRIBARI EXCH,26.20130,90.13070
MANKACHAR EXCH,25.54180,89.86745
BARBARUAH XGE.,27.40115,94.87895
NAHARKATIA EXCHANGE,27.28458,95.32583
KHOWANG EXG.,27.27779,94.88910
LAHOAL  XGE.,27.45292,94.99703
CHABUA EXCH.,27.48392,95.16856
TKT EXCHANGE,27.38116,95.17085
RAJGARH EXCHANGE,27.18360,95.11008
JALESWAR USO/OLT,26.04900,90.19500
KHARMUZA OLT,26.15097,90.48594
LAKHIPUR EXCHANGE,26.03525,90.31163
DHEKIAL XGE/BTS,26.60891,93.98383
NEW BUILDING,26.51246,93.97133
DOIGRUNG XGE,26.55358,93.84633
LICHUBARI EXCHANGE,26.72402,94.21803
KAKAJAN EXCHANGE,26.80742,94.35551
NAKACHARI  EXCHANGE,26.68537,94.39573
KAMLABARI XGE,26.94672,94.16571
TITABAR BLOCK,26.58713,94.17755
PHULONI EXGE.,27.04128,94.27400
BEZERA BLOCK NORTH GUWAHATI OLT,26.20142,91.71547
MUKTAPUR XGE OLT,26.43894,91.73522
BOKO XGE,25.97361,91.22916
CHAMARIA OLT,26.11559,91.00074
NAGARBERA TE. EX,26.11528,91.00056
BORIHAT OLT,26.03750,91.51138
MIRZA  OLT,26.09333,91.53500
CHAYGAON XGE,26.05003,91.39409
GOROIMARI BTS,26.10333,91.24889
HAJO EX.,26.24472,91.52806
KAMALPUR TEL. EX (A 2),26.34970,91.68270
RAMPUR EXG,26.08250,91.47278
DIMU XGE,26.34028,91.60722
RANGIYA MBM EX,26.42944,91.62806
BORIHAT EXG,26.03750,91.51169
SUALKUCHI EXCH.,26.16778,91.56722
CHANDRAPUR EXCH.,26.23639,91.92417
KHETRI XGE,26.11555,92.08861
SONAPUR XGE,26.11778,91.96111
BORJHAR XGE,26.10472,91.59250
BIHUPURI XGE,27.00674,93.91570
JAJORI  BLOCK EXCHANGE,26.32205,92.56493
CHARAIBAHI XGE,26.28559,92.45405
MOIRABARI BLOCK  XGE.,26.45400,92.41818
BARHAMPUR BTS,26.32884,92.76631
DHING XGE.,26.45209,92.45228
HOJAI BLOCK  XGE,25.99883,92.85306
JUGIJAN OLT,26.04430,92.80190
BEBEJIA  XGE,26.30151,92.62426
SINGIMARI BLOCK XGE,26.47590,92.76548
MORONGIAL BTS,26.33249,92.69426
KALAG EXCH.,26.37314,91.48264
GOBRADOL EXCH,26.47267,91.34278
PASCHIM NALBARI BLOCK,26.66741,91.92581
NALBARI T.E,26.44425,91.44125
AMGURI XGE,26.81225,94.52066
GAURISAGAR  XGE,26.94809,94.53658
SAPEKHATI   OLT,27.10053,95.15578
MAIBELA XGE,26.98809,94.93292
OLT TEZPUR.,26.62723,92.78751
NEW EXCHANGE JAMUGURI,26.72351,92.92085
GHOPUR EXCHANGE,26.88814,93.63464
RANGAPARA EXCHANGE,26.81472,92.67845
SOOTEA XGE,26.44220,93.02345
GUIJAN EXCH,27.57056,95.32500
MAKHULI EXCH,27.48278,95.43778
MARGHERITA EXCH,27.35611,95.73833
SAIKHOWAGHAT EXCH,27.75197,95.56367
