FPOI BLOCk,LAT,LONG
ENKOOR,17.356805,80.397403
ENKOOR,17.372290,80.372825
ENKOOR,17.374528,80.366354
GARLA,17.455389,80.187707
GARLA,17.471759,80.162986
GARLA,17.467980,80.206591
GARLA,17.486170,80.139435
GARLA,17.452024,80.185246
GARLA,17.469317,80.145298
GARLA,17.486557,80.140196
GARLA,17.486780,80.142591
GARLA,17.486804,80.141535
GARLA,17.490742,80.148575
GARLA,17.492509,80.131726
GARLA,17.520278,80.166640
JULURUPADU,17.381386,80.474891
JULURUPADU,17.394378,80.538427
JULURUPADU,17.394493,80.524013
JULURUPADU,17.406886,80.504649
JULURUPADU,17.408288,80.501078
JULURUPADU,17.427916,80.545418
JULURUPADU,17.447229,80.527094
JULURUPADU,17.449033,80.528435
JULURUPADU,17.465964,80.548609
JULURUPADU,17.466915,80.551142
KALLUR,17.174141,80.534113
KALLUR,17.058415,80.451637
KALLUR,17.068897,80.472701
KALLUR,17.084845,80.455993
KALLUR,17.100342,80.464383
KALLUR,17.127601,80.491726
KALLUR,17.127857,80.493690
KALLUR,17.136081,80.527946
KALLUR,17.136578,80.527926
KALLUR,17.148379,80.484237
KALLUR,17.154452,80.513267
KALLUR,17.154751,80.513154
KALLUR,17.159499,80.590002
KALLUR,17.172289,80.578219
KALLUR,17.183791,80.593279
KALLUR,17.200180,80.549286
KALLUR,17.200352,80.598608
KALLUR,17.200365,80.569652
KALLUR,17.200440,80.599078
KALLUR,17.217897,80.565636
KAMEPALLY,17.457602,80.295903
KAMEPALLY,17.456584,80.269161
KAMEPALLY,17.451655,80.267413
KAMEPALLY,17.408238,80.245427
KAMEPALLY,17.375082,80.232938
KAMEPALLY,17.394208,80.263486
KAMEPALLY,17.396728,80.267257
KAMEPALLY,17.400910,80.292952
KAMEPALLY,17.416602,80.191691
KAMEPALLY,17.420928,80.241044
KAMEPALLY,17.421101,80.219932
KAMEPALLY,17.422241,80.299049
KAMEPALLY,17.422623,80.231439
KAMEPALLY,17.449741,80.283053
KAMEPALLY,17.450605,80.286648
KAMEPALLY,17.453783,80.268135
KAMEPALLY,17.457274,80.297225
KAMEPALLY,17.457898,80.296116
KHAMMAM,17.312799,80.234952
KHAMMAM,17.234389,80.234334
KHAMMAM,17.247488,80.151424
KHAMMAM,17.202569,80.222362
KHAMMAM,17.241381,80.224113
KHAMMAM,17.243673,80.214002
KHAMMAM,17.269285,80.236268
KHAMMAM,17.293368,80.243769
KHAMMAM,17.298483,80.197908
KHAMMAM,17.312015,80.232664
KHAMMAM,17.315829,80.186640
KHAMMAM,17.316983,80.186385
KHAMMAM,17.324723,80.207426
KHAMMAM,17.325529,80.259638
KHAMMAM,17.326035,80.271874
KHAMMAM,17.344239,80.185384
KHAMMAM,17.346311,80.226647
KONIJERLA,17.220446,80.293317
KONIJERLA,17.167380,80.293183
KONIJERLA,17.168949,80.255363
KONIJERLA,17.171226,80.295753
KONIJERLA,17.188903,80.298143
KONIJERLA,17.195594,80.252717
KONIJERLA,17.198019,80.323891
KONIJERLA,17.205422,80.334507
KONIJERLA,17.205731,80.290885
KONIJERLA,17.220040,80.293294
KONIJERLA,17.221807,80.250701
KONIJERLA,17.221816,80.293457
KONIJERLA,17.230979,80.259572
KONIJERLA,17.232503,80.337485
KONIJERLA,17.239580,80.259968
KONIJERLA,17.242609,80.320137
KONIJERLA,17.244156,80.345351
