SRNO,FPOI,GP,LAT,LONG,LAT1,LONG1,distance
0,1,1,27.257279999999998,88.50813000000001,27.318440000000002,88.59744,11.145380803110992
1,2,2,27.257279999999998,88.50813000000001,27.25563,88.50463,0.39173091183588254
2,3,3,27.27703,88.52833000000001,27.28557,88.53973,1.4739017167040425
3,4,4,27.27723,88.57868,27.27703,88.52833000000001,4.977706157606898
4,5,5,27.277829999999998,88.59028,27.26868,88.57802,1.5827057586235673
5,6,6,27.29393,88.59028,27.29222,88.59003,0.1918016067346268
6,7,7,27.203429999999997,88.69903000000001,27.21343,88.68436,1.828429419948677
7,7,8,27.203429999999997,88.69903000000001,27.19643,88.67688000000001,2.3255097882209013
8,7,9,27.203429999999997,88.69903000000001,27.20758,88.73846999999999,3.9288037597796817
9,7,10,27.203429999999997,88.69903000000001,27.20617,88.68583000000001,1.3409091251284935
10,7,11,27.203429999999997,88.69903000000001,27.20818,88.72608000000001,2.727567531286635
11,7,12,27.203429999999997,88.69903000000001,27.21358,88.66753,3.3142635788222226
12,7,13,27.203429999999997,88.69903000000001,27.20813,88.69447,0.6904973024910392
13,8,14,27.22127,88.73768000000001,27.22127,88.73768000000001,0.0
14,9,15,27.17772,88.65666999999999,27.17772,88.65682,0.014842409721826584
15,10,16,27.17813,88.64412,27.25427,88.63736999999999,8.495317760241456
16,11,17,27.178179999999998,88.64067,27.178179999999998,88.64073,0.005936939415985868
17,12,18,27.17963,88.63733,27.198529999999998,88.65007,2.451174532937977
18,12,19,27.17963,88.63733,27.17823,88.64409,0.6867779903680418
19,13,20,27.41153,88.58639000000001,27.50194,88.53489,11.267953250240307
20,14,21,27.494190000000003,88.53144,27.433059999999998,88.52986,6.801267586225808
21,14,22,27.494190000000003,88.53144,27.403170000000003,88.55169000000001,10.319571179904251
22,14,23,27.494190000000003,88.53144,27.49383,88.53239,0.10192887623491456
23,14,24,27.494190000000003,88.53144,27.516890000000004,88.55419,3.37827741351518
24,14,25,27.494190000000003,88.53144,27.445359999999997,88.52646999999999,5.453454715653211
25,15,26,27.50194,88.53489,27.542759999999998,88.63532,10.897537649719233
26,16,27,27.129859999999997,88.28569,27.162770000000002,88.30839,4.295094269725633
27,17,28,27.16113,88.30789,27.140009999999997,88.30426,2.3764882517378547
28,17,29,27.16113,88.30789,27.16113,88.30790999999999,0.001979282087566721
29,18,30,27.128729999999997,88.34711999999999,27.15587,88.32135,3.9521218032301455
30,19,31,27.14572,88.34997,27.168429999999997,88.39116999999999,4.796517403704546
31,20,32,27.159670000000002,88.41072,27.121229999999997,88.34711999999999,7.609991426585662
32,21,33,27.16065,88.33001999999999,27.18812,88.36028,4.278060458973104
33,22,34,27.1684,88.39102,27.16005,88.40918,2.0229478975923145
34,23,35,27.168570000000003,88.16856999999999,27.14572,88.34997,18.13174448926482
35,23,36,27.168570000000003,88.48002,27.1356,88.36893,11.590280290705099
36,23,37,27.168570000000003,88.48002,27.127,88.33712,14.88028341736452
37,24,38,27.18812,88.36028,27.207079999999998,88.35717,2.1312435861281434
38,25,39,27.29202,88.25431999999999,27.30467,88.18847,6.659111690431885
39,26,40,27.29257,88.24063000000001,27.293120000000002,88.24915,0.8443964598202427
40,27,41,27.29293,88.25758,27.27897,88.25475,1.577768241227696
41,28,42,27.293120000000002,88.24915,27.279420000000002,88.20848000000001,4.299457022020812
42,29,43,27.30278,88.23148,27.27688,88.18477,5.442291065463864
43,29,44,27.30278,88.23148,27.30588,88.24028,0.9356207442528076
44,29,45,27.30278,88.23148,27.31382,88.26838000000001,3.848139608414552
45,30,46,27.314420000000002,88.26858,27.286579999999997,88.23458000000001,4.5697486005043615
