FPOI,LAT,LONG,GPs connected
DAMBUK,28.25278,95.59982,8
HUNLI-DESALI,28.37851,95.92874,1
HUNLI-DESALI,28.30328,95.92392,1
HUNLI-DESALI,28.29374,96.04056,1
HUNLI-DESALI,28.3327,95.94957,1
HUNLI-DESALI,28.32457,95.96263,1
HUNLI-DESALI,28.33132,95.98033,1
IDULI,28.05196,95.81677,1
IDULI,27.99011,95.81975,1
IDULI,27.97512,95.83759,2
KORONU,28.09761,95.89303,1
KORONU,28.05002,96.00105,1
KORONU,28.07027,95.91688,1
KORONU,28.08423,95.90357,1
KORONU,28.06222,95.92851,1
MEKA,28.02837,95.76053,1
MEKA,28.0484,95.75365,1
MEKA,28.05433,95.75674,1
MEKA,27.97291,95.75571,1
MEKA,28.11578,95.82087,1
MEKA,28.1137,95.81791,1
MEKA,28.01248,95.76005,1
MEKA,28.00128,95.75775,1
MEKA,27.98659,95.75833,1
MEKA,27.95159,95.75612,1
ROING,28.08512,95.84957,1
ROING,28.13583,95.84287,1
ROING,28.17823,95.81967,1
ROING,28.12015,95.75082,1
ROING,28.13944,95.84124,1
ROING,28.13085,95.83759,1
ROING,28.10069,95.8898,3
DIIBO,27.58137,93.82805,1
DIIBO,27.57037,93.83196,1
DIIBO,27.55029,93.82416,1
DIIBO,27.58435,93.82729,1
DIIBO,27.54385,93.81022,1
DIIBO,27.54562,93.81492,11
DOLLUMUKH TAMING,27.75497,94.0056,1
DOLLUMUKH TAMING,27.75849,94.00748,8
HARI,27.47165,93.76498,1
HARI,27.57235,93.83205,1
HARI,27.54385,93.81022,9
HIJA,27.59214,93.82778,1
HIJA,27.58646,93.82743,10
KAMPORIJO -I,27.75626,94.00745,1
KAMPORIJO -I,27.78261,93.97643,1
KAMPORIJO -I,27.71442,93.92954,5
KAMPORIJO -II,27.73246,93.98538,1
KAMPORIJO -II,27.73107,93.97968,1
KAMPORIJO -II,27.7427,94.00114,1
KAMPORIJO -II,27.75497,94.0056,1
KAMPORIJO -II,27.69826,93.91264,1
NICHII,27.55298,93.82552,12
NITII,27.59453,93.82766,1
NITII,27.54385,93.81022,1
NITII,27.50674,93.77454,10
PISTANA,27.48563,93.63452,1
PISTANA,27.49147,93.59896,1
PISTANA,27.59537,93.67941,1
PISTANA,27.60718,93.65962,1
PISTANA,27.60402,93.66624,1
PISTANA,27.57807,93.67713,1
PISTANA,27.54737,93.68469,1
PISTANA,27.60302,93.67245,1
PISTANA,27.47205,93.6869,1
PISTANA,27.50921,93.64359,1
PISTANA,27.5096,93.77414,1
RAGA,27.73228,93.98994,1
RAGA,27.8033,94.08237,1
RAGA,27.82457,94.18675,1
RAGA,27.82347,94.13547,1
RAGA,27.82243,94.15742,1
RAGA,27.77297,94.0411,3
RAGA,27.77616,94.07251,1
RAGA,27.79219,94.07409,1
RAGA,27.79957,94.07492,1
RAGA,27.79233,94.07666,1
RAGA,27.79761,94.06984,1
RERU KALUNG,27.68149,93.88767,9
TAJANG,27.6203,93.84176,1
TAJANG,27.60729,93.83121,1
TAJANG,27.69272,93.91095,1
TAJANG,27.59854,93.82646,1
TAJANG,27.60006,93.82698,1
TAJANG,27.59214,93.82778,5
YACHULI,27.4717,93.76572,1
YACHULI,27.51185,93.78375,1
YACHULI,27.68149,93.88767,1
YACHULI,27.4693,93.76885,1
YACHULI,27.68082,93.89995,8
YAZALI,27.3551,93.78084,1
YAZALI,27.42053,93.7503,1
YAZALI,27.40503,93.74681,1
YAZALI,27.47451,93.68099,1
YAZALI,27.35423,93.78378,1
YAZALI,27.35887,93.77874,1
YAZALI,27.33261,93.82237,1
YAZALI,27.40478,93.74369,4
BORUM,27.07539,93.59264,1
BORUM,27.08738,93.61148,1
BORUM,27.12302,93.72219,1
BORUM,27.10952,93.71105,1
BORUM,27.12967,93.74716,3
DOIMUKH,27.09867,93.82717,1
DOIMUKH,27.10975,93.82126,1
DOIMUKH,27.17969,93.77457,1
DOIMUKH,27.1398,93.7977,1
DOIMUKH,27.14454,93.75224,1
DOIMUKH,27.1435,93.75644,1
DOIMUKH,27.14113,93.76634,1
DOIMUKH,27.12295,93.77941,1
DOIMUKH,27.16977,93.76386,1
DOIMUKH,27.16019,93.75049,1
DOIMUKH,27.14858,93.75394,1
KIMIN,27.302,93.963,1
KIMIN,27.34888,94.02699,1
KIMIN,27.3045,93.9688,1
KIMIN,27.37399,93.87474,1
LEPORIANG,27.2062,93.38056,1
LEPORIANG,27.2164,93.38477,1
LEPORIANG,27.23078,93.34213,3
LOWER BALIJAN,27.02591,93.7319,1
LOWER BALIJAN,26.95314,93.59215,1
LOWER BALIJAN,26.97597,93.6607,1
LOWER BALIJAN,26.97526,93.66034,2
MENGIO,27.53089,93.48971,1
MENGIO,27.49005,93.54617,1
MENGIO,27.53325,93.49926,1
MENGIO,27.43437,93.55218,1
MENGIO,27.51178,93.53819,1
MENGIO,27.47798,93.52452,1
MENGIO,27.51072,93.53877,2
SAGALEE,27.24708,93.49204,1
SAGALEE,27.25226,93.49129,1
SAGALEE,27.25457,93.48715,1
SAGALEE,27.29454,93.51835,1
SAGALEE,27.23033,93.56393,1
SAGALEE,27.23283,93.418,1
SAGALEE,27.24647,93.49675,1
SAGALEE,27.33047,93.50713,1
SAGALEE,27.24786,93.51059,1
SAGALEE,27.23532,93.53336,1
SAGALEE,27.33171,93.50526,1
SAGALEE,27.35074,93.52958,3
TORU,27.25721,93.79656,1
TORU,27.21202,93.68466,1
TORU,27.21573,93.68616,1
TORU,27.25384,93.67123,1
TORU,27.20757,93.61704,1
TORU,27.20731,93.61459,1
TORU,27.21634,93.6632,1
UPPER BALIJAN,27.03606,93.39996,1
UPPER BALIJAN,27.06113,93.52493,1
UPPER BALIJAN,27.06478,93.53404,1
UPPER BALIJAN,27.03612,93.39876,1
BALUKPONG JAMIRI,27.21635,92.61269,1
BALUKPONG JAMIRI,27.21104,92.46734,1
BALUKPONG JAMIRI,27.09199,92.58928,1
BALUKPONG JAMIRI,27.20246,92.59198,1
BALUKPONG JAMIRI,27.19315,92.57305,1
