distance,Number of FPOIs  connected
<1 KM,426
1-2 KM,61
<2 KM,483
2-3 KM,28
<3 KM,505
3-4 KM,36
<4 KM,534
>5 KM,304
5-6 KM,44
7-10 KM,132
>10 KM,110
