S.no,FPOI ,LAT,LONG,GPs connected,
130,IDUKKI,9.85623,76.98983,1,
131,IDUKKI,9.91173,77.00944,1,
132,IDUKKI,9.87443,76.95992,1,
133,KATTAPPANA,9.65939,77.15871,1,
134,KATTAPPANA,9.69682,77.03971,1,
135,KATTAPPANA,9.79494,77.10758,1,
136,KATTAPPANA,9.73833,77.06223,1,
137,KATTAPPANA,9.75347,77.11592,1,
138,KATTAPPANA,9.70107,77.02136,1,
139,NEDUMKANDOM,9.77336,77.21546,1,
140,NEDUMKANDOM,9.89979,77.17593,1,
141,NEDUMKANDOM,9.94914,77.18105,1,
142,NEDUMKANDOM,9.96093,77.09673,1,
143,NEDUMKANDOM,9.96750,77.15667,1,
144,NEDUMKANDOM,9.80482,77.15865,2,
145,THODUPUZHA,9.84155,76.74464,1,
146,THODUPUZHA,9.88329,76.64150,1,
147,THODUPUZHA,9.89283,76.74517,1,
148,THODUPUZHA,9.93406,76.71235,1,
149,THODUPUZHA,9.85694,76.69028,2,
150,EDAKKAD,11.90042,75.43067,1,
151,EDAKKAD,11.86627,75.40214,1,
152,EDAKKAD,11.88236,75.40164,1,
153,EDAKKAD,11.83395,75.45293,1,
154,EDAKKAD,11.97108,75.40938,1,
155,EDAKKAD,11.91404,75.45716,1,
156,EDAKKAD,11.83193,75.48356,3,
157,IRIKKUR,12.09497,75.54845,1,
158,IRIKKUR,11.98572,75.55195,1,
159,IRIKKUR,12.01876,75.48788,1,
160,IRIKKUR,11.99406,75.45288,1,
161,IRIKKUR,12.06062,75.58157,1,
162,IRIKKUR,12.04541,75.50514,1,
163,IRIKKUR,12.04086,75.66039,1,
164,IRIKKUR,12.00204,75.62782,3,
165,IRITTY,11.99566,75.72144,1,
166,IRITTY,12.03413,75.74686,1,
167,IRITTY,11.96125,75.65280,1,
168,IRITTY,11.93460,75.50407,1,
169,IRITTY,12.00474,75.69124,1,
170,IRITTY,11.92699,75.66557,1,
171,KALLIASSERI,11.99614,75.29441,1,
172,KALLIASSERI,12.07811,75.26058,1,
173,KALLIASSERI,12.03814,75.29617,1,
174,KALLIASSERI,12.02222,75.26892,1,
175,KALLIASSERI,11.97325,75.28606,1,
176,KALLIASSERI,11.97135,75.36263,1,
177,KALLIASSERI,11.93888,75.40429,2,
178,KANNUR,11.93049,75.32851,1,
179,KANNUR,11.91729,75.35674,1,
180,KANNUR,11.88916,75.36167,1,
181,KANNUR,11.94621,75.35448,1,
182,KANNUR,11.90186,75.38688,1,
