S.no,FPOI ,LAT,LONG,GPs connected,
584,PALAKKAD,10.76928,76.60810,2,
585,PATTAMBI,10.86805,76.18888,1,
586,PATTAMBI,10.86417,76.23193,1,
587,PATTAMBI,10.83190,76.15652,1,
588,PATTAMBI,10.86333,76.27860,1,
589,PATTAMBI,10.80250,76.22027,1,
590,PATTAMBI,10.80269,76.18125,1,
591,PATTAMBI,10.87115,76.13978,1,
592,PATTAMBI,10.84070,76.25278,1,
593,PATTAMBI,10.88473,76.18903,3,
594,SREEKRISHNAPURAM,10.88145,76.31020,1,
595,SREEKRISHNAPURAM,10.87132,76.47177,1,
596,SREEKRISHNAPURAM,10.92107,76.41888,1,
597,SREEKRISHNAPURAM,10.86173,76.39157,1,
598,SREEKRISHNAPURAM,10.90247,76.40613,1,
599,SREEKRISHNAPURAM,10.85000,76.34417,1,
600,SREEKRISHNAPURAM,10.88730,76.36620,1,
601,TRITHALA,10.82995,76.05392,1,
602,TRITHALA,10.73443,76.09250,1,
603,TRITHALA,10.79282,76.05892,1,
604,TRITHALA,10.76167,76.12055,1,
605,TRITHALA,10.79342,76.09372,1,
606,TRITHALA,10.73333,76.16252,1,
607,TRITHALA,10.80103,76.12392,1,
608,ELANTHOOR,9.34581,76.74527,1,
609,ELANTHOOR,9.29192,76.72546,1,
610,ELANTHOOR,9.33978,76.71040,1,
611,ELANTHOOR,9.31342,76.75542,4,
612,KOIPURAM,9.35214,76.72750,1,
613,KOIPURAM,9.36569,76.62821,1,
614,KOIPURAM,9.39662,76.68227,1,
615,KOIPURAM,9.33855,76.69592,2,
616,KONNI,9.20782,76.87371,1,
617,KONNI,9.22805,76.85166,1,
618,KONNI,9.28851,76.82664,1,
619,KONNI,9.28847,76.79772,1,
620,KONNI,9.23209,76.80195,1,
621,KONNI,9.26331,76.92647,1,
622,KONNI,9.22723,76.78145,1,
623,MALLAPPALLY,9.40267,76.74273,1,
624,MALLAPPALLY,9.45436,76.71637,1,
625,MALLAPPALLY,9.44291,76.65518,5,
626,PANDLAM,9.32176,76.66808,1,
627,PANDLAM,9.24222,76.67242,1,
628,PANDLAM,9.27539,76.70187,1,
629,PANDLAM,9.22218,76.67810,1,
630,PANDLAM,9.19710,76.73463,1,
631,PANDLAM,9.21652,76.71355,1,
632,PULIKEEZHU,9.35940,76.58797,1,
633,PULIKEEZHU,9.33435,76.53435,1,
634,PULIKEEZHU,9.34179,76.51302,1,
635,PULIKEEZHU,9.36665,76.54551,1,
636,PULIKEEZHU,9.43511,76.61006,1,
637,RANNI,9.33013,76.92513,1,
638,RANNI,9.41343,76.85101,1,
639,RANNI,9.37652,76.77890,1,
640,RANNI,9.37997,76.77429,1,
641,RANNI,9.38565,76.78664,1,
642,RANNI,9.36779,76.85521,1,
643,RANNI,9.32951,76.97100,1,
644,RANNI,9.43143,76.85138,2,
645,ATHIYANNOOR,8.39648,77.05500,1,
646,ATHIYANNOOR,8.36032,77.05590,1,
647,ATHIYANNOOR,8.33460,77.04842,1,
648,ATHIYANNOOR,8.37262,77.02448,1,
649,ATHIYANNOOR,8.40398,77.01336,2,
650,CHIRAYINKEEZHU,8.68126,76.77037,1,
651,CHIRAYINKEEZHU,8.63589,76.81067,1,
652,CHIRAYINKEEZHU,8.66184,76.78740,1,
653,CHIRAYINKEEZHU,8.68125,76.77024,1,
654,CHIRAYINKEEZHU,8.66202,76.81115,1,
655,CHIRAYINKEEZHU,8.69043,76.85831,2,
656,KILIMANOOR,8.77296,76.85555,1,
657,KILIMANOOR,8.75519,76.85855,1,
658,KILIMANOOR,8.77939,76.78680,1,
659,KILIMANOOR,8.82397,76.80923,1,
660,KILIMANOOR,8.76610,76.87505,4,
661,NEDUMANGAD,8.57023,77.01529,1,
662,NEDUMANGAD,8.56188,76.98213,1,
663,NEDUMANGAD,8.66136,76.98683,1,
664,NEDUMANGAD,8.63331,76.93858,1,
665,NEMOM,8.42700,77.04227,1,
666,NEMOM,8.48675,77.03608,1,
667,NEMOM,8.47185,77.07237,1,
668,NEMOM,8.51649,77.02136,1,
669,NEMOM,8.49161,77.02186,3,
670,PARASSALA,8.38013,77.11984,1,
671,PARASSALA,8.34178,77.11217,1,
672,PARASSALA,8.34475,77.15828,1,
673,PARASSALA,8.31850,77.07060,1,
674,PARASSALA,8.36194,77.07956,2,
675,PERUMKADAVILA,8.50595,77.19093,1,
676,PERUMKADAVILA,8.46888,77.12761,1,
677,PERUMKADAVILA,8.53173,77.12726,1,
678,PERUMKADAVILA,8.49119,77.12288,1,
679,PERUMKADAVILA,8.43675,77.10797,1,
680,PERUMKADAVILA,8.43101,77.19688,3,
681,POTHENCODE,8.58845,76.85200,1,
682,POTHENCODE,8.62369,76.84869,3,
683,VAMANAPURAM,8.75015,76.93893,1,
684,VAMANAPURAM,8.66153,76.91781,1,
685,VAMANAPURAM,8.70214,77.02774,1,
686,VAMANAPURAM,8.76540,76.96178,1,
687,VAMANAPURAM,8.72460,77.04277,1,
688,VAMANAPURAM,8.67988,76.94135,3,
689,VARKALA,8.72657,76.75316,1,
690,VARKALA,8.76448,76.69619,1,
691,VARKALA,8.77654,76.72507,1,
692,VARKALA,8.71956,76.77935,4,
693,VELLANAD,8.58444,77.08649,1,
694,VELLANAD,8.50785,77.08140,1,
695,VELLANAD,8.56609,77.09978,1,
696,VELLANAD,8.53611,77.08671,1,
697,VELLANAD,8.56407,77.05443,1,
698,VELLANAD,8.67094,77.08249,3,
699,ANTHIKKAD,10.45776,76.12148,1,
700,ANTHIKKAD,10.49752,76.14862,1,
701,ANTHIKKAD,10.41113,76.16656,1,
702,ANTHIKKAD,10.47465,76.10223,1,
703,ANTHIKKAD,10.41433,76.11137,1,
704,CHALAKKUDY,10.27006,76.31106,1,
705,CHALAKKUDY,10.26443,76.35054,1,
706,CHALAKKUDY,10.29366,76.35292,1,
707,CHALAKKUDY,10.31990,76.37068,3,
708,CHAVAKKAD,10.53802,76.02918,1,
709,CHAVAKKAD,10.59316,76.02916,1,
710,CHAVAKKAD,10.66179,76.00361,1,
711,CHAVAKKAD,10.67167,75.99759,1,
712,CHAVAKKAD,10.64106,76.01530,1,
713,CHERPU,10.46943,76.22971,1,
714,CHERPU,10.44501,76.21338,1,
715,CHERPU,10.46627,76.18485,1,
716,CHERPU,10.44213,76.21715,1,
717,CHOWANNUR,10.61846,76.11991,1,
718,CHOWANNUR,10.67720,76.12173,1,
719,CHOWANNUR,10.69409,76.08765,1,
720,CHOWANNUR,10.60183,76.09158,1,
721,CHOWANNUR,10.68718,76.04407,1,
722,CHOWANNUR,10.64005,76.15762,1,
723,IRINJALAKKUDA,10.36834,76.26531,1,
724,IRINJALAKKUDA,10.40385,76.27546,3,
725,KODAKARA,10.43490,76.27979,1,
726,KODAKARA,10.37104,76.30355,1,
727,KODAKARA,10.37610,76.36214,1,
728,KODAKARA,10.44627,76.25942,1,
729,KODAKARA,10.42506,76.26807,1,
730,KODAKARA,10.45227,76.28473,1,
731,KODAKARA,10.42091,76.33296,1,
732,MALA,10.21219,76.29044,1,
733,MALA,10.24037,76.26620,1,
734,MALA,10.21235,76.26535,1,
735,MALA,10.34143,76.28191,2,
736,MATHILAKAM,10.38142,76.14832,1,
737,MATHILAKAM,10.24038,76.16947,1,
738,MATHILAKAM,10.33934,76.13606,1,
739,MATHILAKAM,10.28929,76.16804,1,
740,MATHILAKAM,10.31326,76.14857,1,
741,MATHILAKAM,10.26418,76.17999,2,
742,MULLASSERY,10.57403,76.07619,1,
743,MULLASSERY,10.53240,76.08527,1,
744,MULLASSERY,10.56594,76.06178,1,
745,MULLASSERY,10.51927,76.09134,1,
746,OLLUKKARA,10.50610,76.27901,1,
747,OLLUKKARA,10.55807,76.33169,1,
748,OLLUKKARA,10.49044,76.27802,2,
749,PAZHAYANNUR,10.69473,76.33460,1,
750,PAZHAYANNUR,10.72184,76.30462,1,
751,PAZHAYANNUR,10.68819,76.42315,1,
752,PAZHAYANNUR,10.73305,76.42901,1,
753,PAZHAYANNUR,10.74908,76.27620,2,
754,PUZHAKKAL,10.55216,76.17409,1,
755,PUZHAKKAL,10.60811,76.17619,1,
756,PUZHAKKAL,10.59185,76.15455,1,
757,PUZHAKKAL,10.58703,76.21492,1,
758,PUZHAKKAL,10.56389,76.12225,3,
759,THALIKKULAM,10.50350,76.06097,1,
760,THALIKKULAM,10.41594,76.11045,1,
761,THALIKKULAM,10.44122,76.09404,1,
762,THALIKKULAM,10.46409,76.08349,1,
763,THALIKKULAM,10.40533,76.11089,1,
764,VELLANGALLUR,10.29972,76.19164,1,
765,VELLANGALLUR,10.30075,76.19677,1,
766,VELLANGALLUR,10.26815,76.24142,1,
767,VELLANGALLUR,10.28607,76.21475,1,
768,VELLANGALLUR,10.31479,76.23787,1,
769,WADAKKANCHERY,10.74956,76.22063,1,
770,WADAKKANCHERY,10.68246,76.18352,1,
771,WADAKKANCHERY,10.70440,76.27162,1,
772,WADAKKANCHERY,10.63725,76.21299,1,
773,WADAKKANCHERY,10.63634,76.27401,1,
774,WADAKKANCHERY,10.71477,76.21426,1,
775,WADAKKANCHERY,10.66080,76.24640,3,
776,KALPETTA,11.55662,76.03893,1,
777,KALPETTA,11.61832,76.03229,1,
778,KALPETTA,11.63661,76.00539,1,
779,KALPETTA,11.64279,76.11126,1,
780,KALPETTA,11.56397,76.12762,1,
781,KALPETTA,11.67737,75.97658,1,
782,KALPETTA,11.55714,76.22334,1,
783,MANANTHAVADY,11.80351,76.00072,1,
784,MANANTHAVADY,11.84779,76.06280,1,
785,MANANTHAVADY,11.73360,75.95621,1,
786,MANANTHAVADY,11.74328,75.88355,4,
787,PANAMARAM,11.81988,76.16587,1,
788,PANAMARAM,11.72350,76.15310,1,
789,PANAMARAM,11.79782,76.16405,1,
790,SULTHAN BATHERY,11.62044,76.21124,1,
791,SULTHAN BATHERY,11.65546,76.15806,1,
792,SULTHAN BATHERY,11.63072,76.27737,1,
793,SULTHAN BATHERY,11.66852,76.31422,1,
794,SULTHAN BATHERY,11.66053,76.24946,2,
,,,,965,
